Name,Age,Income,Satisfaction,Feedback
Nathaniel Walker,67.0,56764.05581534792,Low,Positive
Anita Reyes,38.0,61476.37882807481,Low,Neutral
Priscilla Fischer,,39691.636422231706,Medium,Neutral
Timothy Martin,35.0,49979.8054274896,Low,
Dustin Pratt,72.0,62677.07178987612,Low,
Robert Castillo,51.0,43651.498496183034,High,Positive
Lori Spencer,27.0,52784.57379162561,Low,Negative
Crystal Chapman,,52151.70959954498,High,Positive
Jessica Dillon,48.0,54011.4440841757,Medium,Positive
Michael Webster,,54449.834775707335,Medium,
Jodi Castillo,20.0,47398.14576434657,,Neutral
Dawn Harrison,,92824.4731151502,Low,Neutral
Kimberly Cooper,35.0,72848.89053463313,Medium,Negative
Victoria Myers,79.0,45019.875336932106,High,
Danielle Whitaker,62.0,40768.40397421325,Low,Positive
Jennifer Martinez,57.0,38433.66662595264,High,Positive
David Hess,29.0,20820.510062773865,Low,Neutral
Daniel May,35.0,53077.08323717304,High,Neutral
Sarah Parker,65.0,51374.37630896534,Low,Negative
Tammy Gutierrez,24.0,39670.090608826365,Low,Neutral
Daniel Garrett,61.0,55214.83713133208,Medium,
Anthony Keith,27.0,59944.03562206103,Low,Negative
Laura Shaw,30.0,39792.968216545225,High,Negative
Jacob Lin,77.0,18127.38021494868,Low,
Michael Frye,50.0,40038.41916409432,High,Neutral
Tiffany Matthews,70.0,59758.20583830512,Medium,Positive
Kyle Baxter,44.0,74332.55155734713,Low,Positive
James Thompson,34.0,48047.319261636076,Medium,Positive
Lauren Evans,70.0,61014.71855178143,High,Negative
Maria Lee,62.0,41948.90679497995,,Positive
Anita Green,66.0,32838.879853230384,Low,Negative
Sherri Bailey,54.0,50268.6928106922,,Neutral
Kenneth Stein,,,Low,Negative
Susan Wilson,75.0,79368.91029178636,Medium,
Gina Clark,25.0,19530.302776496013,High,Positive
Edward Miller,43.0,78159.66454219574,Low,
Adriana Davidson,28.0,,Medium,Negative
Jason Wilcox,74.0,74623.02091640719,High,
Adam Frazier,52.0,63666.220606543706,High,Positive
David Garcia,66.0,13280.083307876965,High,
Lisa Webb,61.0,40336.02864756229,High,Negative
Cheryl Powell,40.0,53050.252283235284,Medium,
Lindsay Johnson,74.0,70121.57814334428,Low,Neutral
Laura Hall,59.0,38506.96602001378,Low,Neutral
Nicole Tanner,74.0,55386.23945361228,High,Neutral
Gregory Turner,45.0,60967.400165465806,Low,Positive
Peggy Morales,78.0,53364.6086301771,High,
Joshua Delgado,19.0,48985.72901756791,Low,
Mary Perry,59.0,,High,Negative
Michelle Villarreal,78.0,40668.46758659898,High,Positive
Richard Shepherd,,59327.569754204414,Medium,Negative
Paul Armstrong,66.0,39544.63214247911,Medium,
Jennifer Smith,43.0,59036.04607955318,Low,
Grace Sanders,28.0,44251.24235870309,High,Negative
Michelle Dawson,39.0,58000.93551990854,High,Neutral
Margaret Sullivan,24.0,44937.20449361436,High,Negative
Preston Cooper MD,22.0,46773.10876681054,Medium,
Mr. Joseph Mcmahon,43.0,23304.053281084845,Medium,
Jacqueline Gordon,46.0,52770.29786773047,Medium,Positive
Emily Tran,67.0,55986.34788699631,,
Rachel Brown,38.0,59779.64723342894,High,Negative
Sharon Lee,40.0,63190.55641771406,High,Neutral
Rick Faulkner,69.0,37800.30774733745,Medium,Positive
Michelle Morgan,58.0,42016.99565972217,Low,Negative
Laura Robinson,71.0,54745.55010410174,Medium,Negative
Jacob Ellison,26.0,50454.342596731374,Medium,Negative
Joel Becker,62.0,62769.52535006749,High,Negative
James Aguilar,61.0,53433.00797748498,High,Negative
Lisa Black,70.0,39085.12092917097,Medium,Positive
David Orozco,75.0,49132.65527681801,High,
Elizabeth Hodges,,61758.63211941542,Medium,Neutral
Paul Anderson,33.0,45215.810562334336,Medium,
Shawn Mccann,20.0,52613.183310625354,Medium,Negative
James Taylor,53.0,50633.970192941095,Low,Negative
Randall Cowan,63.0,28249.709608170375,High,Negative
Jennifer Harrison,51.0,44209.484525362466,High,
Jason Curry,30.0,70187.29088890384,Low,
Allison Thomas,59.0,26019.224125216133,High,Positive
Ian Conner,57.0,42347.15148033496,High,Positive
Lucas Clark,,35558.651104115525,Medium,Positive
Sandra Alvarez,73.0,54122.90045506888,Low,Negative
Danielle Fisher,,54523.25582742494,,Positive
Derek Mcknight,18.0,66111.15077027274,High,Negative
Gabriel Lopez,70.0,54838.20555156624,Medium,
Angela Hamilton,32.0,67212.69576762048,Low,Positive
Todd Shannon,25.0,55799.366909276956,High,Positive
Vanessa Flores,22.0,49839.0015207845,Low,Negative
Patrick Daniels,54.0,38412.90194766725,High,Positive
Angela Murphy,68.0,45653.702503936736,High,Positive
Ashley Golden,37.0,50209.843682496095,Low,
Darryl Reed,61.0,76673.11868989785,High,
Richard Tapia,28.0,36703.80050041801,High,Negative
Megan Guzman,30.0,47067.53820832718,Medium,Positive
Brittany Watkins,,69700.7357805678,Medium,
Bradley Good,26.0,56842.07650025937,Medium,Negative
Ian Henderson,26.0,62875.76570018734,Low,Negative
John Hansen,58.0,19875.453277002645,Medium,Positive
John Davies,46.0,53007.21599256278,Medium,Neutral
Michael Rowe,57.0,56887.70157743434,High,Neutral
Elizabeth Castro,55.0,32123.588433345387,High,Neutral
David Barnett,,51430.52377848416,Low,
Vincent Lopez,,57140.92265920895,Medium,Positive
John White,22.0,54036.41606491993,Low,Positive
Michael Jimenez,,30220.037421451045,Medium,
Daniel Nelson,26.0,49757.84518578937,High,Positive
Mary Mendez,40.0,64871.17559975517,High,Positive
Nicholas Chen,32.0,63219.667268413745,Medium,Positive
Michael Nelson,21.0,60937.36830483642,Medium,Positive
Brittany Mccann,22.0,51817.42708492236,Low,
Robert Green,69.0,84131.10400400753,Low,Neutral
Tina Novak,78.0,64719.78801072718,Low,Negative
Eugene West,58.0,65169.65028069133,High,Negative
Darren Miller,53.0,39389.45715918236,High,Negative
Willie Pham,61.0,75109.81151689982,Low,Positive
Paul Miller Jr.,20.0,53391.12873648239,Low,Negative
Susan Mullins,,32040.35994943977,Medium,
Victoria Paul,58.0,66564.79733071543,Medium,
Kimberly Gonzalez,76.0,40741.36813036013,High,Positive
Anthony Thomas,32.0,40743.28137058375,Low,Neutral
Melissa Thornton,65.0,65797.36083281871,Low,Negative
John Colon,54.0,51842.26247477207,High,
John Golden,20.0,,High,Negative
Kerry Adkins,38.0,39265.791232940646,Medium,Neutral
Robert Hall,35.0,80312.87938838321,Medium,Neutral
Kim Schmitt,49.0,37099.212153603396,High,Negative
Glenda Peterson,70.0,29062.5055978086,High,Negative
Michael Schneider,18.0,37162.87665688505,High,Neutral
Ronnie Morgan,,60369.40424797202,Medium,Negative
Candice Smith,,47388.20197636966,High,Neutral
Billy Salinas,21.0,52292.65544122852,High,Negative
Hunter Richardson,19.0,54564.527188796885,,Neutral
Lindsay Ball,29.0,46928.12838548133,Medium,Negative
Frederick Martin,62.0,43785.89469941048,High,
Daniel Alexander,,,Low,Negative
Zachary Bryant,21.0,39552.821779190024,High,
Brandon Ramirez DVM,61.0,37019.63188427466,Medium,Positive
Richard Harvey,72.0,47674.988349386214,Low,Positive
Dr. Sean Chambers,46.0,76430.93865628293,Medium,
Matthew Bennett,25.0,46276.43346397275,,Negative
Matthew Ali,,58964.58140221988,Low,
Christopher Lee,25.0,61329.69370928312,Medium,Positive
Cathy Murphy,76.0,47168.43978611621,Medium,
Caroline Garcia,75.0,65471.73150833451,Medium,Negative
Kristina Wilson,19.0,54239.55760296995,Low,Neutral
Robert Mann,43.0,70672.80944246621,Medium,Negative
Barbara Turner,48.0,53241.842049413004,Medium,Positive
Cheryl Bates,48.0,49361.994373782625,Low,
Steven Gonzalez,31.0,73307.46764122862,Low,Positive
Sandra Salazar,32.0,32571.038996977353,Low,Positive
Karen Mann,55.0,23295.30042051246,Medium,Positive
Vanessa James,,74388.89449576638,Low,
Daniel Ho,42.0,52423.888654894,,
Alexander Rosario,75.0,75568.39873140714,Low,Positive
Shelly Melton,23.0,76092.20018067425,Low,
Amber Joseph,78.0,32623.63824898638,High,Positive
Peter Sanders,50.0,54137.00186816542,High,Negative
Tonya Guerra,34.0,77369.23986514195,Low,Positive
Kaylee Williams,39.0,57334.84956779157,Medium,
Robert Tran,47.0,68092.40503008661,Low,
Gabriel Baker,79.0,66312.91315442784,Low,Neutral
Mr. James Jennings,24.0,54559.42646235527,Medium,Negative
Katrina Nelson,49.0,56807.580164252155,High,
Gregory Hawkins,21.0,81362.3129229534,Medium,Negative
Steve Sims,32.0,47789.87149146696,High,
Ashley Lee,74.0,69392.83710169453,Medium,Positive
Brian Allen,19.0,68623.23773031453,High,
Ryan Johnson,19.0,40774.4682390333,High,Neutral
Micheal Romero,73.0,47007.18340122025,Medium,Negative
Kimberly Rodriguez,77.0,92826.39728695131,Medium,Positive
Samuel Gilbert,74.0,56686.24838315309,High,
Daniel Hughes,70.0,57501.85730936685,Low,
Jessica Powers,37.0,44581.279357771695,Medium,Neutral
Daniel Robertson,67.0,67313.56462999915,Medium,Neutral
Kristi Smith,42.0,57252.76829444275,Medium,Positive
William Hodge,35.0,50980.209237404124,,
Chris Lewis,,55582.89585753102,Medium,
Amber Gray,56.0,,High,
Mr. Christopher Walsh,47.0,60404.10023166428,Medium,
Lisa Jordan,27.0,14947.463246147578,Medium,Negative
William Baker,63.0,,Low,Negative
Ashley Johnston,67.0,,Low,
Audrey Kim,63.0,33194.39148105434,Low,Positive
Ernest Johnson,47.0,76243.96052428367,Low,
Kevin James,21.0,49502.2227875824,Low,
Ryan Hanson,22.0,87331.34588615112,Medium,Neutral
Gabriel Higgins,36.0,20286.83876597996,Medium,Positive
Matthew Jones,21.0,48133.43942598354,High,Positive
Nicholas Mosley,49.0,27726.71520100409,Low,Neutral
Susan Robinson,62.0,25532.803586307175,Medium,Positive
Kristopher Harrison,22.0,59049.10279426235,Low,
John Bright,43.0,42614.59651967194,Medium,
Angela Shaw,21.0,54538.1459677591,Low,Positive
Patrick Ramirez,51.0,65029.15038275834,Medium,
Lisa Davis,61.0,65021.912799341604,Low,
Dominic Parker,47.0,38565.21264524209,High,
Janice Eaton,24.0,35698.203472286055,Medium,Neutral
Steven Reed,58.0,40261.58232663455,Low,Neutral
Charles Payne,50.0,34321.978673851,High,Positive
Jared Lara,72.0,46973.90745375493,Low,
Matthew Pace,54.0,36141.20666951292,High,
Robert Webb,44.0,29703.765347822893,Medium,Positive
William Garcia,55.0,47393.488593987786,Medium,Negative
John Love,26.0,55978.90703451847,Low,Neutral
Mark Casey,63.0,77030.49842472778,Low,Positive
Robert Glenn MD,58.0,56827.17820180769,High,Negative
Jose Bell,18.0,72200.41665579041,Low,Neutral
Philip Scott,73.0,36369.04529107554,High,Negative
Donna Jones,25.0,64258.88911069433,,Positive
Mark Harmon MD,,35475.364680329716,Medium,Negative
Lorraine Banks,54.0,71886.69610996192,High,Positive
Brittany Burnett,72.0,41023.04245743594,High,
John Odonnell,40.0,50616.70197834714,Medium,
Susan Bell,50.0,73061.51638774935,Low,Neutral
Allison Brown,70.0,99400.69318381841,High,Neutral
Abigail Martinez,64.0,38117.51009385122,Low,
James Chandler,19.0,61703.38988069164,Low,Positive
Philip Valencia,22.0,27655.107578003994,High,
Brent Jacobs,,29309.189296385655,Medium,Positive
Andrew Smith,18.0,42810.10946972353,Medium,Neutral
Laurie Jensen,61.0,71315.17117704933,High,
Earl Miranda,18.0,59285.95722636411,Low,Negative
Mark Ray,45.0,56863.6198466064,Low,
Mary Chaney,32.0,37783.4430259591,Medium,Neutral
Scott Roberts,77.0,23874.192695126192,Medium,
Briana Taylor,55.0,71626.67016624687,Low,Positive
Carolyn Blair,,65686.58319409659,Medium,
Cindy Herman,66.0,79241.93058976381,Low,Neutral
Juan Russell,24.0,63643.51909846708,,Positive
Peggy Cervantes,40.0,55812.79165672754,Low,
Maria Drake,54.0,18311.04499866063,Medium,Positive
Taylor Newman,53.0,42665.20014896872,Low,
Peggy Cook,71.0,63991.26936320095,Medium,Neutral
Brett Stephens,45.0,43844.78235168857,High,Positive
Denise Hart,19.0,71742.81004620406,High,Positive
Mary Gould,43.0,22762.44969081524,,Positive
Ronald Contreras,74.0,49316.574845474854,Low,Positive
Caroline Greene,21.0,51109.67884001637,High,Neutral
Joe Patterson,25.0,46116.22722427989,Medium,Positive
Katie Brown,62.0,69754.26430287107,Low,Negative
Caroline Thompson,42.0,55237.63605720378,Low,Negative
Andrew Perry,45.0,39550.18834949892,Low,
Jenna Miller,,63208.89305700163,Low,Positive
Samantha Hunter,52.0,33437.66724368463,Medium,
Eduardo Cruz,34.0,56268.615911436136,Medium,Positive
Cody Richard,49.0,28775.99710728143,Low,Positive
Brittney Miller,51.0,51726.38404446824,Low,Negative
Fred Duncan,57.0,36625.172329418776,High,Negative
Cynthia Ryan,42.0,40097.37657297967,Medium,Neutral
Christopher Mclean,48.0,51248.223984848904,Medium,Positive
April Adams,64.0,55234.38914798086,Low,Positive
Alan Carrillo,18.0,94927.28234817307,Medium,Positive
Christopher Anderson,44.0,65075.146469963576,High,
Adam Richmond,55.0,43302.06141580508,Low,Positive
John Cortez,31.0,47772.668733103674,High,
Gary Burns,28.0,38295.722662055596,Medium,Neutral
Lisa Morgan,19.0,47264.477252115605,Medium,Positive
Pamela Shaffer,22.0,63893.051701805714,High,Positive
Raymond Carroll,43.0,40318.98087589144,High,
Chad Leonard,18.0,50822.191692008695,Low,Neutral
Natasha Williams,79.0,51113.734275622344,Low,Positive
Lisa Torres,21.0,40195.10706903758,High,Negative
Andrea Gutierrez,41.0,28675.98763697089,High,
Patrick Burnett,65.0,98966.64436878951,Medium,Positive
Richard Bowers,57.0,64043.937999551286,High,Neutral
Stephen Strickland,66.0,60182.35982224111,Medium,Positive
Ashley Richards,,35408.41038742254,High,Positive
Patrick Chan,68.0,36032.64869741832,High,
Ashley Horton,30.0,67653.47716788591,Medium,Neutral
Cynthia Gray,38.0,47136.41812524109,High,
Daniel Guzman,47.0,66879.42146215562,High,Neutral
Laura Greer,40.0,27034.569370264526,Medium,Negative
Laurie Woods,23.0,28435.81784329771,Low,Positive
Cheryl Smith,61.0,52915.85793930203,High,Positive
Harold Hall,19.0,68282.27286844222,Medium,Neutral
Elizabeth Young,63.0,38280.93912323238,Low,Neutral
Anthony Campos,32.0,35375.02286271741,Medium,Positive
John Goodman,37.0,64388.35250734613,Medium,Positive
Shannon Taylor,35.0,70579.67990672181,High,
Sheena Clark,57.0,75628.81966843035,Low,
Peter Garcia,19.0,55359.640399857,High,Negative
Tony Fields,34.0,88924.7972845744,Low,Neutral
Leah Castaneda,26.0,65725.35770583944,High,Neutral
Ryan Olson,42.0,85005.86030837121,High,Negative
Justin Martinez,38.0,24289.9397055971,Medium,
Kristi Vaughn,39.0,66324.04585940568,High,
Sarah Williams,34.0,76809.64643386332,Medium,
Amy Brown,36.0,55443.789633188884,Low,Negative
Dr. Casey Jordan,34.0,37763.50076474589,High,
Mary Gillespie,69.0,43440.86085301156,Low,Positive
Alexis Smith,22.0,,High,
Mrs. Martha Chambers,54.0,46633.2411566364,,
Matthew Cox,53.0,33912.77063947554,Medium,Positive
John Kirby,,53658.7477064879,High,Neutral
Gary Green,77.0,56018.66504846142,High,Neutral
Derek Dean,27.0,42822.34211718133,High,Negative
Christopher Randall,75.0,63121.41594303431,Medium,Neutral
Misty Doyle,49.0,57623.01892066102,Low,Neutral
Joshua Watts,33.0,51362.30907901944,Medium,Negative
James Compton,57.0,53231.34349358176,Low,
Patrick Jones,77.0,61040.63388141482,High,Positive
Bruce Smith,19.0,,Low,
Jon Freeman,59.0,71352.11335296437,,Negative
Michael Flynn,,46521.65818399844,Medium,
Kara Rivera,77.0,51752.9364555439,,Negative
Peter Smith,33.0,56134.10009570042,Medium,Positive
Michael Lane,76.0,74023.42216928185,Low,Negative
Martin Williams,57.0,33457.554197937556,Low,
Anthony Pacheco,58.0,58580.2924072402,High,
Brenda Hampton,67.0,47218.48496510624,Medium,Neutral
Monica Williams,34.0,53522.70952550627,High,Positive
Daniel Gross,41.0,,Medium,Negative
Nathan Bautista,62.0,71217.45531249975,Low,Neutral
Jennifer Kelly,34.0,59207.34807172332,Medium,Neutral
Samantha Miles,56.0,53257.2600763114,Medium,Positive
Linda Bailey,44.0,34327.03881914023,High,Negative
Jacob Tucker,64.0,38836.21441281223,High,Neutral
David Gillespie,39.0,46788.67347951636,Low,Positive
Adam Guzman,24.0,27782.92759686625,High,
Alexis Bass,75.0,52856.025420889506,High,
Wyatt Davidson,18.0,32800.92888854732,High,Neutral
Melissa Castro,21.0,40111.18866095578,Medium,
Mackenzie Mosley,73.0,64780.074992274545,Low,Neutral
Robin White,45.0,59697.12942235111,Low,Positive
Natalie Sharp,69.0,54392.91568715531,Medium,Neutral
Lisa Little,19.0,,,Positive
Gregory Novak,68.0,53229.32514723229,,Negative
Daniel Robinson,62.0,44704.366099447296,Low,
Edward George,64.0,47892.6294849708,Medium,Neutral
Abigail Carpenter,25.0,49611.33964565329,Medium,Positive
Beverly Hunt,,56949.645943106785,Low,
Benjamin Simpson,37.0,44759.860370818526,Medium,Positive
Rachel Garcia,44.0,55220.60644473151,Low,Negative
Olivia Lopez,22.0,64393.80145910595,Low,Neutral
Shane Horn,37.0,,Low,Positive
David Burton,62.0,13462.996849982177,High,
Pamela Marsh,57.0,54512.72321754106,High,Negative
Jose Larson,27.0,47730.39952083682,Medium,Negative
Kristopher Smith,67.0,57257.369731801344,Medium,Negative
Dr. Lauren Morales,35.0,35196.668168063305,Medium,
David Taylor,35.0,47973.430122897385,Medium,
Todd Perry,32.0,37122.76651307847,High,
Dawn Davidson,57.0,68109.5808237355,Medium,Positive
Michael Hill Jr.,66.0,71346.7296439469,Medium,Negative
Brandon Rice,68.0,30014.4904180715,High,
Julie Hall,62.0,31466.013637283104,Medium,Neutral
Karen Ramirez,19.0,,Low,Neutral
Maria Chandler,46.0,64063.97360043184,High,Negative
Morgan Davis,38.0,67340.25614972415,Medium,Negative
Tamara Baker,69.0,,High,
Leonard Green,74.0,46982.87331074552,High,
James Ford,61.0,20174.700209360402,High,
Brett Miller,46.0,79293.28109422229,High,
James Summers,48.0,63390.348904821556,High,
Diane Meyer,,26747.734896241676,Low,Neutral
Matthew Alexander,75.0,41679.01330219811,Medium,Neutral
Christopher Johnson,66.0,79958.02683390578,Medium,Negative
Andrew Williams,69.0,34819.2104180127,High,Positive
Jeremiah Dixon,,47160.98128176906,High,Neutral
Matthew Hubbard,47.0,64247.57413912608,,Negative
Jennifer Smith,75.0,38533.69730169693,,Neutral
Christina French,72.0,48059.75428566622,Low,Positive
Janet Norman,76.0,39218.15557621138,High,Positive
Jacob Scott,50.0,48135.87999902532,Medium,
James Mckee,56.0,61263.08543942316,Medium,Positive
Madison Bowen,26.0,41689.42718294856,,Neutral
Mark Rivera,19.0,47079.26408714381,Medium,Negative
Thomas Briggs,23.0,55866.99703429929,Low,Neutral
Brenda Peters,32.0,26450.870702608,High,Positive
Savannah Lozano,24.0,46754.36020208379,Medium,Neutral
Taylor Leonard,63.0,72406.02462847687,,Positive
Tiffany Moore,72.0,55787.683345659316,Medium,Negative
James Perez,61.0,53787.66550773671,Low,Positive
James Barker,35.0,39091.86180317405,High,
Thomas Smith,47.0,44588.48816116544,Low,Negative
Samuel Brown,54.0,67247.24309424283,Low,Negative
Jeremy Yang,57.0,44413.02169259562,Medium,
Amanda Watson,20.0,72041.01443654185,,Neutral
Kathryn Delgado,73.0,46601.35350320293,Medium,
Steven Lester,63.0,57412.455977274316,Low,
Courtney Adams,73.0,49467.503389914076,Medium,Neutral
Kristopher Harper,25.0,53374.06748544446,High,
David King,53.0,26639.881680523875,Low,Neutral
Scott Moore,20.0,,Low,Negative
Denise Andrews,69.0,34406.554146292896,Medium,
Rodney Moore,45.0,53860.23965979835,Medium,
Jeremy Acosta,18.0,19171.451685637545,Medium,Neutral
Anthony Barton,25.0,24244.658715151618,High,Positive
David Mccoy,43.0,50476.50357650583,High,Neutral
Casey Miller,21.0,53028.02579681609,High,
Amanda Vang,55.0,46713.29563398426,High,Neutral
Scott Dorsey,32.0,58977.374561006654,Low,Positive
Joshua Gray,29.0,39438.82817747159,Low,
Mary Spence,19.0,36835.26318168064,High,Positive
Hunter Curtis,59.0,39392.140756345674,Medium,Negative
Melissa Haynes,69.0,39459.57549340486,Medium,Positive
Julie Johnson,48.0,17914.615776734307,Medium,
Ronald Johnson,34.0,47365.10124898708,Low,Negative
Theresa Swanson,,40422.24731591112,Medium,Positive
Tina Mitchell,74.0,67151.4084504568,Low,
Jillian Parker,69.0,58169.13399984425,Low,
Laura Huber,41.0,30123.613312503632,Low,Neutral
Nicole Lopez,47.0,53731.794667278366,High,
Alyssa Gonzalez,26.0,40295.09885474108,High,
Renee Montgomery,61.0,35224.83449086134,High,Neutral
Laura Burns,26.0,38848.64872120169,Low,
Natasha Rowe,55.0,43054.599014921005,Low,Negative
Adam Dyer,26.0,35240.50495809445,Medium,
Cynthia Simmons,33.0,19300.031521526733,High,Neutral
Jeffery Lee,43.0,44964.868699623796,High,Negative
Danielle Wallace,21.0,73272.46443791082,Low,Positive
Sandra George,35.0,28112.676658264612,Medium,
Julie Moran,57.0,57355.097078461346,High,Negative
Allison Hill,37.0,60989.4604620056,Medium,
Taylor Christian,67.0,66251.49602306316,High,
Jeremy Johnson,,60475.952640382864,Low,
Laura Taylor,23.0,45859.25627863212,Low,Negative
Mark Mcintosh,26.0,36987.859342472846,Medium,
Kayla Gutierrez,59.0,53439.185488917465,Medium,Neutral
Mark Schultz,72.0,67569.8779250927,Medium,Neutral
Gregory Hooper,26.0,40358.77212127226,Low,Negative
Robert Lewis,33.0,,Medium,
Robyn Wheeler,59.0,,Low,Neutral
Stephen Nielsen,50.0,64306.72482368719,High,Negative
Jeffery Gonzales,66.0,48182.693378390075,Low,Negative
Robert Harper,71.0,58916.79353428312,Low,
Joseph Henry,27.0,55589.80270758152,High,Positive
Eileen Fields,55.0,54743.68261290676,High,Negative
Harold Rose,35.0,58741.95735622659,High,Positive
Dana Booker,61.0,69508.17436808941,Medium,Negative
Christopher Green,35.0,68162.35074098318,High,Neutral
Michael Payne,67.0,40296.46996847041,Medium,Positive
Edward Keller,72.0,41114.02099785384,Medium,Positive
Lee Robinson,,75481.20831498233,High,Positive
Sue Oliver,61.0,53624.75103024413,Low,Negative
Jamie Dalton,73.0,24430.711843719375,High,
Teresa Rose,51.0,,High,
Joshua Hansen,75.0,30678.53095916361,,Positive
Steven Silva,60.0,,High,
Dana Miller,71.0,40499.36525510826,Low,
Thomas Curry,27.0,32660.008112937405,High,Neutral
Shirley Williams,46.0,38822.550983296525,Low,Positive
Mary Powell,35.0,57184.59690507027,Medium,Negative
